City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Padang,ID,2021-06-13 20:10:20,-0.9492,100.3543,78.28,83,37,4.38
68,Srednekolymsk,RU,2021-06-13 20:10:20,67.45,153.6833,64.69,38,99,5.44
69,Saint-Philippe,RE,2021-06-13 20:10:20,-21.3585,55.7679,72.95,78,56,16.26
70,Sabang,ID,2021-06-13 20:10:20,5.8933,95.3214,83.35,73,100,13.73
71,Raga,SS,2021-06-13 20:10:21,8.4596,25.678,70.56,87,100,5.41
72,Cayenne,GF,2021-06-13 20:10:21,4.9333,-52.3333,85.08,80,90,3.0
73,Kenai,US,2021-06-13 20:10:21,60.5544,-151.2583,65.03,64,9,11.56
74,Chokurdakh,RU,2021-06-13 20:10:22,70.6333,147.9167,52.45,69,96,7.72
75,Te Anau,NZ,2021-06-13 20:10:22,-45.4167,167.7167,49.35,96,100,1.83
76,Kaniama,CD,2021-06-13 20:10:22,-7.5667,24.1833,68.95,42,11,5.26
77,Copiapo,CL,2021-06-13 20:10:23,-27.3667,-70.3333,56.89,32,0,4.85
78,Roseburg,US,2021-06-13 20:10:23,43.2165,-123.3417,72.09,93,100,1.79
79,Lavrentiya,RU,2021-06-13 20:10:23,65.5833,-171.0,35.82,95,100,9.26
80,Airai,TL,2021-06-13 20:10:23,-8.9266,125.4092,57.88,93,65,1.59
81,Outjo,NA,2021-06-13 20:10:24,-20.1167,16.15,56.73,28,2,6.35
82,Guerrero Negro,MX,2021-06-13 20:10:24,27.9769,-114.0611,72.19,61,14,16.51
83,Saint-Georges,GD,2021-06-13 20:10:24,12.0564,-61.7485,81.73,72,58,13.42
84,Cabanas,CU,2021-06-13 20:10:25,22.9758,-82.9219,82.87,71,100,1.79
85,Castro,BR,2021-06-13 20:10:25,-24.7911,-50.0119,58.17,71,0,5.12
86,Lagoa Vermelha,BR,2021-06-13 20:10:25,-28.2086,-51.5258,59.02,71,0,2.19
87,Saint Anthony,US,2021-06-13 20:10:26,45.0205,-93.218,93.83,28,0,1.99
88,Luderitz,NA,2021-06-13 20:10:26,-26.6481,15.1594,64.17,63,0,4.47
89,Tasiilaq,GL,2021-06-13 20:10:26,65.6145,-37.6368,35.76,74,99,4.47
90,Zyryanka,RU,2021-06-13 20:10:27,65.75,150.85,66.04,39,20,6.64
91,Charters Towers,AU,2021-06-13 20:10:27,-20.1,146.2667,66.13,93,93,6.38
92,Nemuro,JP,2021-06-13 20:10:27,43.3236,145.575,50.13,99,93,4.52
93,Togur,RU,2021-06-13 20:10:28,58.3631,82.8265,46.8,79,9,6.06
94,Harper,LR,2021-06-13 20:10:28,4.375,-7.7169,79.29,82,100,7.38
95,Cape Town,ZA,2021-06-13 20:08:50,-33.9258,18.4232,55.11,80,55,2.15
96,Nishihara,JP,2021-06-13 20:10:28,26.1842,127.7558,78.85,94,75,10.36
97,Punta Arenas,CL,2021-06-13 20:08:37,-53.15,-70.9167,41.11,75,0,13.8
